0:0:0:0:0:0:0:1 - - [25/Jun/2018:16:03:25 +0700] "GET /quanlisinhvien1/new HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [25/Jun/2018:16:03:25 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 200 3166
0:0:0:0:0:0:0:1 - - [25/Jun/2018:16:03:25 +0700] "GET /quanlisinhvien1/new HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [25/Jun/2018:16:03:26 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 200 3166
0:0:0:0:0:0:0:1 - - [25/Jun/2018:16:03:27 +0700] "GET /quanlisinhvien1/new HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [25/Jun/2018:16:03:27 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 200 3166
0:0:0:0:0:0:0:1 - - [25/Jun/2018:16:03:40 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 200 3166
0:0:0:0:0:0:0:1 - - [25/Jun/2018:16:03:41 +0700] "GET /quanlisinhvien1/new HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [25/Jun/2018:16:03:42 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 200 3166
0:0:0:0:0:0:0:1 - - [25/Jun/2018:16:03:42 +0700] "GET /quanlisinhvien1/new HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [25/Jun/2018:16:03:43 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 200 3166
